scan_idx,phant_id,breast_radius_mm,localization_error_mm,iou,dice,scr_db,smr_db,cnr,peak_intensity,tvsvd_rank_removed,blob_threshold_used,runtime_sec
155,A16F1,57.0,33.22339756508343,0.0,0.0,5.5473423607034675,5.140957805558078,2.922024497348734,184.07547378313458,5,0.46928358767573025,0.09794179999971675
156,A16F1,57.0,75.55860012441511,0.0,0.0,7.248739904088532,6.353837605840907,4.93647457147827,591.1727290723288,4,0.26118525927280883,0.09948290000011184
157,A16F1,57.0,29.601750885691295,0.0,0.0,6.147031776142323,5.507235549158747,3.8400906483591113,306.18227935296517,5,0.31641844262549973,0.09866079999937938
158,A16F1,57.0,62.62048571811723,0.0,0.0,5.803217708592621,5.476613414473742,3.1499976389377706,347.6135284448427,5,0.350770513570094,0.09567189999961556
159,A16F1,57.0,15.340531061916888,0.18547595682041218,0.3129139072847682,5.651419262612464,5.312563012079582,2.9000273384567943,274.1649282604527,6,0.37420728699132266,0.10713500000019849
160,A16F1,57.0,52.86400801240892,0.0,0.0,6.2935091385672575,5.922506684770137,3.341639828884738,355.2260084951909,5,0.36194314813250766,0.11401440000008733
161,A16F1,57.0,97.95640004690763,0.0,0.0,6.522024376325374,6.260630457280102,4.012837486659336,196.6539492773675,6,0.3040347777779263,0.10581180000008317
162,A15F1,56.2,58.91579169303069,0.0,0.0,6.073058073085349,5.357530453057193,3.9305931176400066,345.4706142229482,5,0.37737828647057603,0.09338719999959721
163,A15F1,56.2,58.66566897450378,0.0,0.0,6.238277361551788,5.764311757935437,3.1732456343976665,445.5123993062949,4,0.3321575919356884,0.09395829999994021
164,A15F1,56.2,69.99975106966154,0.0,0.0,6.640105932095062,6.240596475814931,3.860955066152687,382.0651290723438,4,0.3385923798985505,0.09647680000034597
165,A15F1,56.2,87.856392241922,0.0,0.0,5.60338689745593,5.18929927260391,2.991992522212808,260.28813227980345,5,0.4830913527102394,0.09305330000006506
166,A15F1,56.2,46.62981598723634,0.0,0.0,6.517598243293225,5.782566038462303,3.457905638421951,251.58770898610857,5,0.4100686912220335,0.09280740000031074
167,A15F1,56.2,28.157249968943077,0.0,0.0,7.381363579026376,6.829880379304701,4.2181251660312,230.93259794075107,6,0.2636289811020001,0.10016489999998157
168,A15F1,56.2,70.72290401802705,0.0,0.0,7.179945590615063,6.533683508865026,4.05284834144506,342.0549936142155,5,0.24032086058022165,0.09165289999964443
169,A12F2,39.0,37.74506221387532,0.0,0.0,6.156174191883435,5.67295778993166,3.078379795889993,167.10940736628396,6,0.31255807561202087,0.09772369999973307
170,A12F2,39.0,74.11331980128666,0.0,0.0,6.589546626122912,5.830976653541978,3.981032097666743,189.5850501715757,6,0.43600645086007356,0.10818899999958376
171,A12F2,39.0,24.758250490105237,0.0,0.0,5.630400216446835,5.290742498582467,2.9783573471659373,139.20471381553776,5,0.4646324916532717,0.11187340000014956
172,A12F2,39.0,48.247006374881884,0.0,0.0,6.432451114492672,5.909771756310379,3.3860828516505,204.1728011719859,5,0.4554933158980272,0.1061533000001873
173,A12F2,39.0,14.900293774690157,0.08050847457627118,0.14901960784313725,6.435380199151335,5.914089790352448,3.4650632816975206,164.7719801797792,6,0.3476773094266298,0.10356359999968845
174,A12F2,39.0,46.380914434924215,0.0,0.0,4.946121189637041,4.764888903650573,2.19490974346708,144.21521676106357,7,0.3294278159446147,0.09404950000043755
175,A14F13,45.4,73.25031599922033,0.0,0.0,5.732708283670388,5.444613525866737,2.6761296417005207,191.3166350990117,6,0.40710085132212803,0.10722449999957462
176,A14F13,45.4,75.52886634368407,0.0,0.0,7.618434048288827,7.127014771783102,4.705097370031576,395.9637985223958,6,0.21134867501747376,0.09626119999938965
177,A14F13,45.4,54.373223925275035,0.0,0.0,6.623315666915078,6.039740741094396,3.9220125021115506,295.0400086634652,5,0.326312000805244,0.09572149999985413
178,A14F13,45.4,27.95499679983784,0.0,0.0,6.7399782390172085,6.334254254689634,3.8026227048684365,204.91469028906096,6,0.324098324765007,0.10226349999993545
179,A14F13,45.4,39.052661835395476,0.0,0.0,5.388317600888481,5.1510216638810915,2.623784455180451,156.60005407810561,6,0.3880797866255257,0.10190020000027289
180,A14F13,45.4,35.86657445065588,0.0,0.0,7.066238684683887,6.384057667932721,4.06275465294794,354.9800443216534,6,0.28491262769158526,0.10813440000038099
181,A14F13,45.4,45.477321129141174,0.0,0.0,4.950306600862891,4.80774349216668,2.419440605201922,176.49969593143533,7,0.35821153120138427,0.10017209999932675
182,A15F2,56.2,93.98462566730385,0.0,0.0,6.039674132239252,5.711980249430006,3.085786862079088,137.88664926006996,7,0.3538265768018126,0.1040421999996397
183,A15F2,56.2,64.66746165274374,0.0,0.0,5.373051748838407,5.124338727600105,2.4904316751154036,172.85370341798276,7,0.37895848011267996,0.09562950000054116
184,A15F2,56.2,68.65113891422341,0.0,0.0,4.975275842057442,4.737450076329306,2.3963216579487607,180.9457618561406,7,0.4392404442834374,0.08771929999966233
185,A15F2,56.2,16.71633956954459,0.0,0.0,4.685708534765834,4.524209989327198,2.2545241784726415,189.91905846823133,7,0.3998973539029924,0.09494439999980386
186,A15F2,56.2,13.171653442333913,0.12195121951219512,0.21739130434782608,5.868710833800632,5.687782427504599,3.01253778742585,161.7381829032334,7,0.3724741205575907,0.09837939999943046
187,A15F2,56.2,96.70280228761196,0.0,0.0,6.335605488331893,6.141880092684451,3.5524313057583536,137.82185283692363,7,0.3257449950833598,0.11165679999976419
188,A15F2,56.2,54.87928664516487,0.0,0.0,5.525785807707145,5.145429029086991,2.6920819921675094,267.58030054900604,7,0.41058763424763745,0.1035888000005798
189,A2F13,48.5,42.58756886373146,0.0,0.0,4.783511296796135,4.5615198122707294,2.2492180270687663,222.58830389195552,7,0.3404691102472327,0.10138850000021193
190,A2F13,48.5,9.371440254686512,0.24758842443729903,0.39690721649484534,5.614870217998252,5.380557425187772,2.9109277545472025,136.86053795944053,7,0.4048793147248798,0.10181919999922684
191,A2F13,48.5,37.272241092190654,0.0,0.0,6.886529497817135,6.306439585764455,3.8642302685048633,167.77386200406508,6,0.37518737567338917,0.10643549999986135
192,A2F13,48.5,80.1717936083782,0.0,0.0,6.690327412977241,6.399475813854255,3.922043603023086,199.60088187657118,7,0.2883860392215679,0.0979538000001412
193,A2F13,48.5,43.277127287296935,0.0,0.0,6.38601361860591,5.931579713758381,3.5930393149443733,322.3834671428077,7,0.25746281122485776,0.09759280000071158
194,A2F13,48.5,31.086998203332364,0.0,0.0,5.847007489713939,5.614932105352564,3.062443523573796,117.22103556767584,8,0.3518567186642445,0.09425259999989066
195,A2F13,48.5,38.984906688547085,0.0,0.0,6.198301592300047,5.8886706199701635,3.1740083328602964,144.88142272741834,7,0.3951360659815987,0.11037619999933668
196,A15F13,56.2,55.338506785699664,0.0,0.0,6.275325235774602,5.903571648339495,3.5346364336072003,198.06675334849052,6,0.3781400025518293,0.09972689999995055
197,A15F13,56.2,25.099747134903726,0.0,0.0,6.359140801624834,6.028191587662785,3.0654681749351727,203.85272551166088,6,0.27209694233890686,0.09533999999985099
198,A15F13,56.2,72.55990371315644,0.0,0.0,5.290871467917163,5.0383704284165525,2.567511550941531,232.67216475349497,7,0.3652954450891292,0.09899420000056125
199,A15F13,56.2,46.37723296579116,0.0,0.0,5.503226964077213,5.249965890598202,2.7434270301354315,260.4580622482554,6,0.3869931160493142,0.09932049999952142
200,A2F2,48.5,32.56979493938817,0.0,0.0,5.577196006030292,5.32028283364974,2.793321747454521,243.5593764221597,7,0.38130978944409344,0.09334560000024794
201,A2F2,48.5,63.52632169375686,0.0,0.0,6.107494857898232,5.580516422077029,3.137473414198702,280.32364777243214,7,0.4138661760609463,0.0963646999998673
202,A2F2,48.5,83.14282729752219,0.0,0.0,7.581238504531073,7.038863388412438,5.054693484616259,378.9975582359428,7,0.2510947014948527,0.10204479999993055
203,A2F2,48.5,53.31961849993419,0.0,0.0,6.480573930435344,6.046626578656675,3.4857538173533524,192.2664351024163,7,0.2940359991060863,0.11210269999992306
204,A16F2,57.0,40.59243888373237,0.0,0.0,5.063908198924957,4.896608062088306,2.5377355326955056,149.0979119475112,7,0.4439162097476981,0.10151819999919098
